attribute,description,units,domainPer,date,type,name,source,notes
country,Country Name,not applicable,not applicable,not applicable,string,Country,not applicable,none
rollerCoasters,Number of Roller Coasters per million of population,per million population,per million population,2006,float,Number of Roller Coasters per million of population,http://www.nationmaster.com/country-info/stats/Lifestyle/Roller-coasters-per-million,none
cottonBales,Bales of Cotton Used per million population (2003-2004),bales,per million population,2004,float,Bales of Cotton Used per million population (2003-2004),http://www.nationmaster.com/country-info/stats/Agriculture/Cotton-use-per-million,none
trec,"The time required to enforce a contract is the number of calendar days from the filing of the lawsuit in court until the final determination and, in appropriate cases, payment. ",days,days absolute,2012,float,"Time Required To Enforce A Contract (days, 2012)",http://www.helgilibrary.com/indicators/index/time-required-to-enforce-a-contract-days,none
water,"Renewable internal freshwater resources, total (billion cubic meters). Renewable internal freshwater resources flows refer to internal renewable resources (internal river flows and groundwater from rainfall) in the country ",,,2011,float,Renewable internal freshwater resources (2011),http://www.nationmaster.com/country-info/stats/Agriculture/Renewable-internal-freshwater-resources%2C-total/Billion-cubic-meters,none
gold,"Summer Olympic Gold Medals (All time, since 1906)",number,absolute,1906,int,All Summer Olympic Gold Medals since 1906,http://www.nationmaster.com/country-info/stats/Sports/Summer-olympic-medals/All-time,none
gti,"Score on Global Terrorism Index. A high value indicates that a country is affected by many terrorist incidents with a strong impact in terms of fatalities, injuries and damaged property ",,,2014,float,Global Terrorism Index,http://www.nationmaster.com/country-info/stats/Conflict/Terrorism/Global-Terrorism-Index,none
beer,Beer Consumption in (litres per capita),litres,per capita,2011,float,Beer Consumption in (litres per capita 2011),http://www.helgilibrary.com/indicators/index/consumption-of-chocolate-products-per-capita,none
heritage,Number of World Heritage Sites in 2014,number,absolute,2014,int,Number of World Heritage Sites,http://www.nationmaster.com/country-info/stats/Culture/World-Heritage-Sites,none
rural,Total population living in rural areas. Future estimates are from the UN Population Division. Figures expressed per thousand people for the same year ,per 1000 people,per 1000 population,2010,float,Rural Population per 1000 people 2010,http://www.nationmaster.com/country-info/stats/Agriculture/Rural-population,none
sugar,Sugar Consumption Per Capita (kg) 2011,kilos,per capita,2011,float,Sugar Consumption Per Capita (kg) 2011,http://www.helgilibrary.com/indicators/index/consumption-of-chocolate-products-per-capita,none
mobile,Mobile phone subsribers per 1000 people in 2005,number per 1000 people,per 1000 population,2005,float,Mobile phone subsribers per 1000 people in 2005,http://www.nationmaster.com/country-info/stats/Media/Fixed-line-and-mobile-phone-subscribers/Per-1%2C000-people,none
bribe,Percentage of people asked to pay a bribe 2013,percentage,per domain survey,2013,int,Percentage of people asked to pay a bribe 2013,http://www.transparency.org/gcb2013/in_detail,none
military,Military Expenditure as a Percentage of GDP 2013,percentage GDP,percentage GDP,2013,float,Military Expenditure as a Percentage of GDP,http://data.worldbank.org/indicator/MS.MIL.XPND.GD.ZS,none
patents,Total number of Patents filed in 2012 (Residents and Non Residents),number absolute,number absolute,2012,int,Total number of Patents filed in 2012 (Residents and Non Residents),http://data.worldbank.org/indicator/IP.PAT.NRES,none
tax,Lowest Income Tax Percentage in 2014,percent,percent of Income,2014,float,Percentage Income Tax for the Lowest Tax Bracket,http://www.tradingeconomics.com/country-list/personal-income-tax-rate,none
tertiary,Gross School Enrolment 2009 (Tertiary Education),percent of school leavers within 5 years,percent of school leavers within 5 years,2009,float,Gross School Enrolment 2009 (Tertiary Education),http://www.helgilibrary.com/indicators/index/gross-school-enrolment-tertiary-education.  Some missing data from http://www.tradingeconomics.com/germany/school-enrollment-tertiary-percent-gross-wb-data.html,none
atheism,Percentage of Atheists,percent per online participants,percent per online participants,2014,float,Percentage of Atheists,"http://www.atheistcensus.com/country, http://www.indopacificreview.com/atheism-myanmar-case-census-question-7/#sthash.mjn265SB.dpbs, http://www.thechapmans.nl/news/Atheist.pdf",none
parties,Number of Significant Political Parties,number absolute,number absolute,2013,int,Number of Political Parties,http://www.nationmaster.com/country-info/stats/Government/Political-parties-and-leaders,none
city,Most Major City by Population,not applicable,not applicable,2014,string,Most Major City by Population,“I'm feeling lucky” google search for largest city in respective country,none
latitude,Latitude of Most Major City by Population,degrees,degrees,---,float,Latitude of Most Major City by Population,“I'm feeling lucky” google search for largest city in respective country,none
longitude,Longitude of Most Major City by Population,degrees,degrees,---,float,Longitude of Most Major City by Population,“I'm feeling lucky” google search for largest city in respective country,none
cityaltitude,Altitude of Most Major City by Population (metres),metres,metres,---,float,Altitude of Most Major City by Population (metres),http://www.climatemps.com/,none
climate,Koppen Climate Classification of Most Major City by Population,Koppen Climate Classification,koppen,---,string,Koppen Climate Classification of Most Major City by Population,http://www.climatemps.com/,none
biome,Biome of Most Major City by Population,biome,biome,---,string,Biome of Most Major City by Population,http://www.climatemps.com/,none
average temp ,Average Temperature (Celcius) of Most Major City by Population,celcius,annual,---,float,Average Temperature (Celcius) of Most Major City by Population,http://www.climatemps.com/,none
precipitation,Precipitation (mm) of Most Major City by Population,millimetres,annual,---,float,Precipitation (mm) of Most Major City by Population,http://www.climatemps.com/,none
